# lambda = 4.8 um
# Basline       Visbility Dust + Star         Visibility  Star
0	            0.9994315323879266            0.9999968724454624
1	            0.9978280005480945            0.999993744890925
2	            0.9952209815369948            0.9999906173363874
3	            0.9916608931950885            0.9999874897818499
4	            0.9872159367132994            0.9999833114323683
5	            0.9819706751582269            0.9999739289626479
6	            0.9760242785556316            0.9999645464929272
7	            0.9694884731953738            0.9999551640232068
8	            0.9624852390628249            0.9999457815534863
9	            0.9551370666589697            0.9999342976893096
10	            0.9475918242178671            0.999918660886067
11	            0.940002606761372             0.999903024082824
12	            0.932505379524975             0.999887387279581
13	            0.925232182421959             0.9998717504763384
14	            0.9183085005349686            0.9998529620699661
15	            0.9118507924662367            0.9998310719025848
16	            0.905964227855732             0.9998091817352032
17	            0.9007406806261745            0.9997872915678219
18	            0.8962570187772417            0.9997654014004405
19	            0.8926358337439462            0.9997393100074513
20	            0.8898725553183354            0.9997111678329623
21	            0.8879778456343664            0.9996830256584733
22	            0.886954407811654             0.9996548834839842
23	            0.8867869252845215            0.9996267413094952
24	            0.8874426966722111            0.9995933490683938
25	            0.8888726321005265            0.999558956631369
26	            0.8910125858683868            0.9995245641943442
27	            0.8937849932729401            0.9994901717573194
28	            0.897111309713729             0.9994557295198884
29	            0.9008991691020568            0.9994150889523041
30	            0.905008745145914             0.9993744483847199
31	            0.9093293462972708            0.9993338078171354
32	            0.9137487775207485            0.9992931672495512
33	            0.9181558252330132            0.9992514276696943
34	            0.9224426808034636            0.999204541490764
35	            0.926507250324106             0.9991576553118335
36	            0.9302553014064852            0.999110769132903
37	            0.9336024018709662            0.9990638829539725
38	            0.9364430686614819            0.999014849530461
39	            0.9387298941605373            0.998961720646438
40	            0.9404324085371343            0.998908591762415
41	            0.941522704429692             0.9988554628783919
42	            0.9419880741013624            0.9988023339943689
43	            0.9418309752184936            0.9987460108079592
44	            0.9410686550804642            0.9986866425119095
45	            0.9397324466272453            0.9986272742158596
46	            0.9378667567236944            0.9985679059198097
47	            0.9355232750320345            0.99850853762376
48	            0.9327494598613166            0.9984449293367936
49	            0.9296567203224917            0.9983793253083373
50	            0.9263275462047867            0.998313721279881
51	            0.922848388529622             0.9982481172514249
52	            0.9193075426486763            0.9981825132229685
53	            0.91579302523255              0.9981116250789152
54	            0.9123904937394907            0.998039789383939
55	            0.9091812553636421            0.9979679536889628
56	            0.9062404098287017            0.9978961179939867
57	            0.903654142371712             0.9978241830316162
58	            0.901482319309122             0.997746120121955
59	            0.899756482841054             0.9976680572122937
60	            0.898509611422978             0.9975899943026322
61	            0.8977623552381532            0.9975119313929709
62	            0.8975227537446482            0.997432723964296
63	            0.897786254821956             0.9973484386773833
64	            0.8985360306992547            0.9972641533904706
65	            0.8997435790783384            0.9971798681035577
66	            0.9013695914390172            0.9970955828166448
67	            0.9033915163519761            0.9970091095200008
68	            0.9057159118363187            0.9969186070784909
69	            0.9082767960248049            0.996828104636981
70	            0.9110040432779545            0.996737602195471
71	            0.9138245618778055            0.9966470997539614
72	            0.9166641072133714            0.9965533677668363
73	            0.9194490957024672            0.9964566537781951
74	            0.9221083767683154            0.9963599397895543
75	            0.924574921708821             0.9962632258009131
76	            0.9267764561748658            0.9961665118122722
77	            0.9286486547003315            0.9960655288906034
78	            0.9301610311189583            0.9959626093466697
79	            0.9312792390565446            0.9958596898027358
80	            0.9319791663668205            0.995756770258802
