# lambda = 3.39790297 um
# Basline       Visbility Dust + Star         Visibility  Star
0	            0.9998969635753129         0.9999955819039237
1	            0.9997939271506258         0.9999911638078472
2	            0.9996908907259386         0.9999867457117707
3	            0.9994693714553831         0.9999772077236485
4	            0.9991618571371694         0.9999639537093181
5	            0.9988543428189557         0.9999506996949875
6	            0.9985150963798601         0.9999360419453686
7	            0.998007860394053          0.9999139528344585
8	            0.9975006244082458         0.9998918637235485
9	            0.9969933884224386         0.9998697746126385
10	            0.9963444760470279         0.9998411633615553
11	            0.995645350506233          0.9998102405234521
12	            0.9949462249654379         0.9997793176853493
13	            0.9941895454556505         0.99974558842096
14	            0.9933092978476196         0.9997058337726548
15	            0.9924290502395885         0.9996660791243497
16	            0.9915488026315574         0.9996263244760445
17	            0.9905181726489035         0.999578648100891
18	            0.9894703128514161         0.9995300641068285
19	            0.9884224530539285         0.9994814801127662
20	            0.9873023330250883         0.9994286890894553
21	            0.9861028714908807         0.9993712787613422
22	            0.9849034099566731         0.9993138684332289
23	            0.9836964678518018         0.999255963270946
24	            0.9823636295253451         0.9991897301675134
25	            0.9810307911988884         0.9991234970640808
26	            0.9796979528724316         0.999057263960648
27	            0.9782931333022102         0.9989854263556952
28	            0.9768470326595213         0.9989103745824215
29	            0.9754009320168324         0.9988353228091476
30	            0.9739351368856543         0.9987583763065933
31	            0.9723974202128619         0.9986745105153817
32	            0.9708597035400695         0.9985906447241701
33	            0.9693219868672772         0.9985067789329586
34	            0.9677295976500645         0.9984159153396658
35	            0.9661230592821581         0.9983232407284806
36	            0.9645165209142518         0.9982305661172952
37	            0.9628930539281154         0.9981346004810557
38	            0.9612412336445685         0.9980331227935144
39	            0.9595894133610213         0.9979316451059733
40	            0.9579375930774744         0.9978301674184319
41	            0.9562653622705606         0.9977203038388006
42	            0.9545921313802951         0.9976100293637252
43	            0.9529189004900295         0.9974997548886495
44	            0.9512469346915611         0.9973847977313461
45	            0.9495760785297446         0.9972657333022695
46	            0.9479052223679282         0.9971466688731927
47	            0.9462372446250509         0.9970266192849819
48	            0.9445920492251003         0.9968987722796134
49	            0.9429468538251499         0.9967709252742448
50	            0.9413016584251994         0.9966430782688765
51	            0.9396896922533323         0.9965091625993193
52	            0.9380925428488002         0.9963725409389671
53	            0.9364953934442679         0.9962359192786149
54	            0.9349169869051572         0.9960969215097301
55	            0.933388985660417          0.9959515336586806
56	            0.9318609844156768         0.9958061458076313
57	            0.9303329831709365         0.995660757956582
58	            0.9288803452841692         0.9955079221680161
59	            0.9274409552553923         0.9953537771328719
60	            0.9260015652266155         0.9951996320977277
61	            0.9246077964309223         0.9950417261440195
62	            0.9232745182279444         0.9948788334729934
63	            0.9219412400249664         0.9947159408019673
64	            0.9206090997762265         0.9945529662052248
65	            0.919397186742335          0.9943813359873926
66	            0.9181852737084433         0.9942097057695606
67	            0.9169733606745517         0.9940380755517284
68	            0.9158404256822688         0.9938613067751958
69	            0.9147626426459026         0.9936809496397072
70	            0.9136848596095365         0.9935005925042186
71	            0.912631341535428          0.9933187688742108
72	            0.9116977713305628         0.9931296959894563
73	            0.9107642011256979         0.992940623104702
74	            0.9098306309208328         0.9927515502199474
75	            0.9090103155756176         0.9925559693325794
76	            0.9082282165933546         0.9923581924053173
77	            0.9074461176110917         0.992160415478055
78	            0.9067149922378052         0.9919597951184036
79	            0.9060887092789679         0.9917533263928426
80	            0.9054624263201306         0.9915468576672817
81	            0.9048361433612933         0.9913403889417206
82	            0.9043523863142375         0.9911260519874509
83	            0.9038833159812862         0.9909109042442928
84	            0.903414245648335          0.990695756501135
85	            0.9030208396896802         0.9904763970414265
86	            0.902707450506349          0.9902525835968662
87	            0.9023940613230179         0.990028770152306
88	            0.9020905762939027         0.9898043903378451
89	            0.9019284826933044         0.9895719250425277
90	            0.9017663890927063         0.9893394597472103
91	            0.9016042954921082         0.989106994451893
92	            0.9015351852500049         0.9888689588271523
93	            0.9015172735470581         0.9886278560650902
94	            0.9014993618441115         0.9883867533030282
95	            0.9015116278153656         0.9881437161235265
96	            0.9016282312972695         0.9878939908109742
97	            0.9017448347791732         0.9876442654984219
98	            0.901861438261077          0.9873945401858696
99	            0.9020765181406336         0.9871378966141612
100	            0.9023156374887955         0.9868795641984479
101	            0.9025547568369573         0.9866212317827346
102	            0.9028354351233543         0.9863596070266664
103	            0.9031829995394147         0.9860926834849886
104	            0.9035305639554749         0.9858257599433107
105	            0.9038781283715352         0.9855588364016327
106	            0.9043148349872853         0.9852836583598027
107	            0.9047549986507512         0.9850081601979734
108	            0.905195162314217          0.9847326620361442
109	            0.9056761489361196         0.9844525247428568
110	            0.9061916167857297         0.9841684689940163
111	            0.9067070846353397         0.983884413245176
112	            0.9072294696114079         0.9835993194706192
113	            0.9078018459285587         0.9833067236939023
114	            0.9083742222457095         0.9830141279171852
115	            0.9089465985628603         0.9827215321404683
116	            0.9095454558471056         0.98242296257348
117	            0.9101556087368475         0.982121844852643
118	            0.9107657616265896         0.981820727131806
119	            0.9113810412618735         0.9815172248201642
120	            0.9120094758818678         0.9812076037621719
121	            0.9126379105018623         0.9808979827041794
122	            0.9132663451218566         0.980588361646187
123	            0.9138937467483554         0.9802714452646485
124	            0.9145209800327172         0.9799533399982193
125	            0.9151482133170786         0.9796352347317899
126	            0.9157665269833699         0.9793134108852692
127	            0.9163734566476233         0.9789868410593803
128	            0.9169803863118766         0.9786602712334911
129	            0.9175865908355405         0.9783335430535788
130	            0.9181548516292426         0.9779985288359306
131	            0.9187231124229446         0.9776635146182823
